Initial Balance: 320000
Interest: .2
Monthly Payment: 29642.97 (Test correct answer is: 29157.09)


Month	/Start bal/	/bal+int/	/interest/	/New Balance/	/Payment/
12	320000.00	325333.33	0.016666666666667	295690.36	29642.97
11	295690.36	300618.54	0.016666666666667	270975.57	29642.97
10	270975.57	275491.83	0.016666666666667	245848.86	29642.97
9	245848.86	249946.34	0.016666666666667	220303.37	29642.97
8	220303.37	223975.09	0.016666666666667	194332.12	29642.97
7	194332.12	197570.99	0.016666666666667	167928.02	29642.97
6	167928.02	170726.82	0.016666666666667	141083.85	29642.97
5	141083.85	143435.25	0.016666666666667	113792.28	29642.97
4	113792.28	115688.81	0.016666666666667	86045.84	29642.97
3	86045.84	87479.94	0.016666666666667	57836.97	29642.97
2	57836.97	58800.92	0.016666666666667	29157.95	29642.97
1	29157.95	29643.92	0.016666666666667		0.95	29642.97

